Date,Close,High,Low,Open,Volume,Return,High_Low,Open_Close_Diff,Abs_Return
2024-08-19,21.5,21.68,18.94,19.58,42489800,0.108,2.74,-1.92,0.108
2024-08-26,20.52,22.26,19.91,21.95,29837200,-0.046,2.35,1.43,0.046
2024-09-02,18.17,20.27,18.105,20.27,25259000,-0.115,2.165,2.1,0.115
2024-09-09,19.23,19.61,16.69,18.03,38185500,0.058,2.92,-1.2,0.058
2024-09-16,18.91,21.77,18.58,19.25,45161600,-0.017,3.19,0.34,0.017
2024-09-23,18.5,19.45,18.22,18.86,28306700,-0.022,1.23,0.36,0.022
2024-09-30,16.52,18.63,16.28,18.16,27203900,-0.107,2.35,1.64,0.107
2024-10-07,15.94,16.9,15.33,16.36,32282800,-0.035,1.57,0.42,0.035
2024-10-14,14.61,15.85,14.45,15.77,31706300,-0.083,1.4,1.16,0.083
2024-10-21,14.37,14.595,13.38,14.45,39395400,-0.016,1.215,0.08,0.016
2024-10-28,14.76,15.69,13.46,15.34,39712100,0.027,2.23,0.58,0.027
2024-11-04,10.23,16.94,9.7,15.05,110354400,-0.307,7.24,4.82,0.307
2024-11-11,9.89,11.59,9.225,10.2,72333800,-0.033,2.365,0.31,0.033
2024-11-18,10.51,10.74,9.54,9.75,42663400,0.063,1.2,-0.76,0.063
2024-11-25,11.53,12.145,10.65,10.88,33186100,0.097,1.495,-0.65,0.097
2024-12-02,10.58,11.98,10.115,11.58,36067900,-0.082,1.865,1.0,0.082
2024-12-09,10.12,11.74,9.87,10.76,35733300,-0.043,1.87,0.64,0.043
2024-12-16,9.87,10.58,9.01,10.02,51862400,-0.025,1.57,0.15,0.025
2024-12-23,9.86,10.22,9.65,9.73,21210200,-0.001,0.57,-0.13,0.001
2024-12-30,10.71,10.82,9.22,9.66,30855200,0.086,1.6,-1.05,0.086
2025-01-06,10.04,11.88,9.93,10.95,38619400,-0.063,1.95,0.91,0.063
2025-01-13,9.44,10.45,9.27,9.8,50166300,-0.06,1.18,0.36,0.06
2025-01-20,10.23,10.43,8.22,9.35,64258200,0.084,2.21,-0.88,0.084
2025-01-27,9.05,10.435,8.94,10.2,47195100,-0.115,1.495,1.15,0.115
2025-02-03,8.47,9.305,8.22,8.57,50355300,-0.064,1.085,0.1,0.064
2025-02-10,8.82,9.0,7.87,8.51,41878700,0.041,1.13,-0.31,0.041
2025-02-17,8.42,9.31,8.24,8.85,29305300,-0.045,1.07,0.43,0.045
2025-02-24,7.25,8.78,6.99,8.44,62758400,-0.139,1.79,1.19,0.139
2025-03-03,7.16,7.29,5.927,7.12,87567700,-0.012,1.363,-0.04,0.012
2025-03-10,6.5,7.645,6.11,7.105,56849400,-0.092,1.535,0.605,0.092
2025-03-17,6.59,7.1,6.27,6.57,53757500,0.014,0.83,-0.02,0.014
2025-03-24,5.94,7.09,5.905,6.7,59088700,-0.099,1.185,0.76,0.099
2025-03-31,6.99,6.99,5.545,5.8,75746100,0.177,1.445,-1.19,0.177
2025-04-07,6.29,7.42,5.45,6.53,75409100,-0.1,1.97,0.24,0.1
2025-04-14,6.85,7.16,6.275,6.49,41229000,0.089,0.885,-0.36,0.089
2025-04-21,7.39,7.63,6.305,6.8,52649100,0.079,1.325,-0.59,0.079
2025-04-28,7.29,7.86,6.7,7.46,41335000,-0.014,1.16,0.17,0.014
2025-05-05,9.38,9.53,6.88,7.19,80492300,0.287,2.65,-2.19,0.287
2025-05-12,12.25,13.23,10.0,10.0,130410700,0.306,3.23,-2.25,0.306
2025-05-19,6.88,12.075,6.16,11.8,188644700,-0.438,5.915,4.92,0.438
2025-05-26,7.49,7.53,6.48,7.07,88978000,0.089,1.05,-0.42,0.089
2025-06-02,8.51,8.59,6.85,7.5,101041100,0.136,1.74,-1.01,0.136
2025-06-09,10.0,10.14,8.12,8.768,101545200,0.175,2.02,-1.232,0.175
