Date,Close,High,Low,Open,Volume,Return,High_Low,Open_Close_Diff,Abs_Return
2015-08-27,46.537,48.285,45.444,46.899,104168200,0.01,2.841,0.362,0.01
2015-09-03,45.755,47.605,45.66,46.798,59227500,-0.017,1.945,1.042,0.017
2015-09-10,47.217,47.471,45.603,46.27,62458700,0.032,1.868,-0.947,0.032
2015-09-17,45.946,47.961,45.768,47.287,77666200,-0.027,2.192,1.341,0.027
2015-09-24,47.249,47.249,45.578,45.755,76262300,0.028,1.671,-1.493,0.028
2015-10-01,50.331,50.388,46.41,47.789,89120000,0.065,3.978,-2.542,0.065
2015-10-08,50.941,51.144,49.88,50.401,68473800,0.012,1.265,-0.54,0.012
2015-10-15,50.973,52.428,50.776,50.96,64716100,0.001,1.652,-0.013,0.001
2015-10-22,52.288,52.746,50.668,51.272,66668000,0.026,2.078,-1.017,0.026
2015-10-29,54.64,55.567,51.64,51.977,84727600,0.045,3.927,-2.663,0.045
2015-11-05,51.869,54.799,51.729,54.366,62170000,-0.051,3.069,2.497,0.051
2015-11-12,51.757,52.103,49.943,51.648,69022300,-0.002,2.16,-0.109,0.002
2015-11-19,52.084,52.789,50.68,51.61,55502000,0.006,2.109,-0.474,0.006
2015-11-26,50.994,52.981,50.911,51.654,52102800,-0.021,2.071,0.66,0.021
2015-12-03,48.481,51.186,47.302,51.103,98956700,-0.049,3.885,2.622,0.049
2015-12-10,50.738,51.033,47.494,48.59,104192700,0.047,3.539,-2.147,0.047
2015-12-17,51.404,51.424,49.135,50.654,89699400,0.013,2.288,-0.75,0.013
2015-12-24,50.071,51.456,49.943,51.456,33717700,-0.026,1.513,1.385,0.026
2015-12-31,49.661,50.283,49.013,49.686,61506000,-0.008,1.269,0.026,0.008
2016-01-07,48.494,49.994,46.513,48.757,109567200,-0.023,3.481,0.263,0.023
2016-01-14,46.911,51.231,45.866,48.853,118134100,-0.033,5.365,1.942,0.033
2016-01-21,48.263,49.661,46.545,46.898,98713300,0.029,3.115,-1.365,0.029
2016-01-28,50.308,50.34,47.148,49.584,105351700,0.042,3.192,-0.724,0.042
2016-02-04,50.866,52.424,49.718,50.372,112008800,0.011,2.705,-0.494,0.011
2016-02-11,53.042,53.546,50.183,50.674,69017700,0.043,3.364,-2.367,0.043
2016-02-18,52.731,53.973,51.535,53.624,67903900,-0.006,2.439,0.893,0.006
2016-02-25,53.495,53.74,51.761,52.757,76778300,0.014,1.979,-0.737,0.014
2016-03-03,53.3,54.633,52.744,53.469,78707700,-0.004,1.889,0.168,0.004
2016-03-10,53.604,54.031,52.35,53.313,65318200,0.006,1.682,-0.291,0.006
2016-03-17,54.174,54.892,53.507,54.128,67450300,0.011,1.384,-0.045,0.011
2016-03-24,54.672,55.015,53.643,53.65,37643600,0.009,1.371,-1.022,0.009
2016-03-31,53.889,55.047,53.035,54.381,53949400,-0.014,2.012,0.492,0.014
2016-04-07,54.872,54.924,53.074,53.533,46790100,0.018,1.85,-1.339,0.018
2016-04-14,56.147,56.561,54.245,54.982,56604600,0.023,2.316,-1.164,0.023
2016-04-21,57.22,57.389,55.856,56.011,49191900,0.019,1.533,-1.21,0.019
2016-04-28,56.884,58.074,56.509,56.832,60174300,-0.006,1.565,-0.052,0.006
2016-05-05,57.447,58.217,56.425,57.414,52018300,0.01,1.792,-0.032,0.01
2016-05-12,58.282,58.706,57.734,58.575,48596200,0.015,0.972,0.294,0.015
2016-05-19,58.875,58.967,57.695,57.799,58990900,0.01,1.272,-1.076,0.01
2016-05-26,58.21,59.006,57.486,58.869,36547400,-0.011,1.52,0.659,0.011
2016-06-02,59.221,59.554,57.147,57.538,50649700,0.017,2.407,-1.683,0.017
2016-06-09,58.81,59.639,58.51,58.823,51514900,-0.007,1.128,0.013,0.007
2016-06-16,59.469,59.965,58.125,58.51,57039400,0.011,1.839,-0.959,0.011
2016-06-23,60.31,60.467,57.473,59.965,70819300,0.014,2.994,-0.346,0.014
2016-06-30,61.374,61.393,60.173,60.226,47908500,0.018,1.22,-1.148,0.018
2016-07-07,61.889,61.935,60.239,61.537,49713000,0.008,1.696,-0.352,0.008
2016-07-14,61.269,62.326,61.185,62.0,42779500,-0.01,1.142,0.731,0.01
2016-07-21,59.299,61.504,59.117,61.243,47021600,-0.032,2.387,1.944,0.032
2016-07-28,57.069,59.182,55.823,59.058,92827800,-0.038,3.359,1.989,0.038
2016-08-04,56.364,57.982,56.103,57.075,55930800,-0.012,1.879,0.711,0.012
2016-08-11,57.963,58.22,56.746,57.029,41958000,0.028,1.474,-0.934,0.028
2016-08-18,57.904,58.509,57.134,58.141,41693600,-0.001,1.375,0.237,0.001
2016-08-25,57.325,58.055,56.72,57.904,39369400,-0.01,1.335,0.579,0.01
2016-09-01,58.049,58.332,56.634,57.049,32855900,0.013,1.697,-1.0,0.013
2016-09-08,55.654,58.792,55.437,58.253,60460000,-0.041,3.355,2.599,0.041
2016-09-15,54.799,56.345,54.148,55.7,71108000,-0.015,2.197,0.901,0.015
